title,authors,year,journal,abstract,source,demo_warning
DEMONSTRATION Study 014: Rice Husk Biochar for Fictional Cadmium Adsorption,"DemoAuthor-014, A.; SyntheticResearcher, B.",2024,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates rice husk biochar for a fictional cadmium adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 015: Algae Hydrochar for Fictional Copper Adsorption,"DemoAuthor-015, A.; SyntheticResearcher, B.",2025,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates algae hydrochar for a fictional copper adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 016: Coconut Biochar for Fictional Nickel Adsorption,"DemoAuthor-016, A.; SyntheticResearcher, B.",2018,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates coconut biochar for a fictional nickel adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 017: Cellulose Hydrochar for Fictional Chromium Adsorption,"DemoAuthor-017, A.; SyntheticResearcher, B.",2019,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates cellulose hydrochar for a fictional chromium adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 018: Bamboo Biochar for Fictional Zinc Adsorption,"DemoAuthor-018, A.; SyntheticResearcher, B.",2020,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates bamboo biochar for a fictional zinc adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 019: Pine Biochar for Fictional Lead Adsorption,"DemoAuthor-019, A.; SyntheticResearcher, B.",2021,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates pine biochar for a fictional lead adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 020: Rice Husk Biochar for Fictional Cadmium Adsorption,"DemoAuthor-020, A.; SyntheticResearcher, B.",2022,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates rice husk biochar for a fictional cadmium adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 021: Algae Hydrochar for Fictional Copper Adsorption,"DemoAuthor-021, A.; SyntheticResearcher, B.",2023,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates algae hydrochar for a fictional copper adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 022: Coconut Biochar for Fictional Nickel Adsorption,"DemoAuthor-022, A.; SyntheticResearcher, B.",2024,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates coconut biochar for a fictional nickel adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 023: Cellulose Hydrochar for Fictional Chromium Adsorption,"DemoAuthor-023, A.; SyntheticResearcher, B.",2025,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates cellulose hydrochar for a fictional chromium adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 024: Bamboo Biochar for Fictional Zinc Adsorption,"DemoAuthor-024, A.; SyntheticResearcher, B.",2018,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates bamboo biochar for a fictional zinc adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 025: Pine Biochar for Fictional Lead Adsorption,"DemoAuthor-025, A.; SyntheticResearcher, B.",2019,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates pine biochar for a fictional lead adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 026: Rice Husk Biochar for Fictional Cadmium Adsorption,"DemoAuthor-026, A.; SyntheticResearcher, B.",2020,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates rice husk biochar for a fictional cadmium adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 027: Algae Hydrochar for Fictional Copper Adsorption,"DemoAuthor-027, A.; SyntheticResearcher, B.",2021,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates algae hydrochar for a fictional copper adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 028: Coconut Biochar for Fictional Nickel Adsorption,"DemoAuthor-028, A.; SyntheticResearcher, B.",2022,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates coconut biochar for a fictional nickel adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 029: Cellulose Hydrochar for Fictional Chromium Adsorption,"DemoAuthor-029, A.; SyntheticResearcher, B.",2023,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates cellulose hydrochar for a fictional chromium adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 030: Bamboo Biochar for Fictional Zinc Adsorption,"DemoAuthor-030, A.; SyntheticResearcher, B.",2024,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates bamboo biochar for a fictional zinc adsorption workflow.,DemoIndex,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 031: Pine Biochar for Fictional Lead Adsorption,"DemoAuthor-031, A.; SyntheticResearcher, B.",2025,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates pine biochar for a fictional lead adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 032: Rice Husk Biochar for Fictional Cadmium Adsorption,"DemoAuthor-032, A.; SyntheticResearcher, B.",2018,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates rice husk biochar for a fictional cadmium adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 033: Algae Hydrochar for Fictional Copper Adsorption,"DemoAuthor-033, A.; SyntheticResearcher, B.",2019,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates algae hydrochar for a fictional copper adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 034: Coconut Biochar for Fictional Nickel Adsorption,"DemoAuthor-034, A.; SyntheticResearcher, B.",2020,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates coconut biochar for a fictional nickel adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 035: Cellulose Hydrochar for Fictional Chromium Adsorption,"DemoAuthor-035, A.; SyntheticResearcher, B.",2021,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates cellulose hydrochar for a fictional chromium adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 036: Bamboo Biochar for Fictional Zinc Adsorption,"DemoAuthor-036, A.; SyntheticResearcher, B.",2022,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates bamboo biochar for a fictional zinc adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 001: Pine Biochar for Fictional Lead Adsorption,"DemoAuthor-001, A.; SyntheticResearcher, B.",2019,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates pine biochar for a fictional lead adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 007: Pine Biochar for Fictional Lead Adsorption,"DemoAuthor-007, A.; SyntheticResearcher, B.",2025,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates pine biochar for a fictional lead adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 013: Pine Biochar for Fictional Lead Adsorption,"DemoAuthor-013, A.; SyntheticResearcher, B.",2023,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates pine biochar for a fictional lead adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
DEMONSTRATION Study 019: Pine Biochar for Fictional Lead Adsorption,"DemoAuthor-019, A.; SyntheticResearcher, B.",2021,Journal of Fictional Adsorption Demonstrations,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW. This synthetic record evaluates pine biochar for a fictional lead adsorption workflow.,Other/manual,DEMONSTRATION DATA - NOT A REAL SYSTEMATIC REVIEW
